Title,Language,Release_Date,Genres,Runtime,Director,Lead_Actors,IMDb_Rating,BMS_Rating,Avg_Rating
Sattham,Tamil,22/07/19,Thriller,154,Mani Shankar Iyer,Kamaal Lenin; Santhosh; Rohith Muralidharan; Nakshatra Rao,8.8,8.5,8.65
Kaithi,Tamil,25/10/19,Action; Thriller,146,Lokesh Kanagaraj,Karthi; Narain; Arjun Das,8.4,8.9,8.65
KD (A) Karuppudurai,Tamil,27/06/19,Drama,123,Seenu Ramasamy,Karuppu; others,8.4,8.5,8.45
Asuran,Tamil,04/10/19,Action; Drama,141,Vetrimaaran,Dhanush; Manju Warrier,8.4,8.3,8.35
Kurukshetra 3D,Tamil,08/03/19,Historical; War,135,Nagana,Yogesh Kumar; Gayathrie,8.4,8,8.2
Single Slipper Size ‚Äì 7,Tamil,10/05/19,Crime; Thriller,120,Suhana Rajendran,Parthiban Radhakrishnan; Gayathrie,8.3,7.9,8.1
Saaral,Tamil,29/11/19,Mystery; Thriller,115,Prabhu,Deepak Paramesh; Lakshmi Menon,8.3,7.8,8.05
Super Deluxe,Tamil,29/03/19,Drama; Thriller,176,Thiagarajan Kumararaja,Vijay Sethupathi; Fahadh Faasil; Samantha Ruth Prabhu,8.2,7.9,8.05
Thadam,Tamil,30/08/19,Crime; Mystery,138,Magizh Thirumeni,Arun Vijay; Yogi Babu; Tanya Hope,8.1,8.1,8.1
Kudimagan,Tamil,21/06/19,Drama,125,Esakki Karvannan,Vinoth Kishan; Viji Chandrasekhar,8.1,8.3,8.2
Insha Allah ‚Äì An Inception at Closure,Tamil,05/04/19,Drama,84,Rajapandi,Samuthirakani; Sunaina Yella; Sara Arjun; Leela Samson,8,7.7,7.85
Sillu Karuppatti,Tamil,15/03/19,Romance; Drama; Anthology,153,Halitha Shameem,"Priyanka K, Nivedithaa Sathish, Kathir, Dhilip Subbarayan",7.9,8.3,8.1
To Let,Tamil,21/02/19,Drama,99,Chezhiyan,Santhosh Sreeram; Sheela; Dharun; Aadhira Pandilakshmi,7.9,8.2,8.05
Embiran,Tamil,10/05/19,Romance,,SK Jeeva,Krishna Pandi,7.9,8.2,8.05
Jiivi,Tamil,07/06/19,Thriller; Drama,122,V.J. Gopinath,"Vetri, Cheran, Santhosh Prathap",7.7,7.4,7.55
Nerkonda Paarvai,Tamil,08/08/19,Courtroom; Drama,157,H. Vinoth,"Ajith Kumar, Shraddha Srinath, Andrea Jeremiah",7.7,8.2,7.95
Magamuni,Tamil,27/09/19,Crime; Drama,153,Santhakumar,"Arya, Indhuja Ravichandran, Mahima Nambiar",7.6,7.2,7.4
Kannadi,Tamil,20/12/19,Thriller; Drama,,Nibir Mohan,Vinod Raj; More info not found,7.6,7.6,7.6
Raatchasi,Tamil,20/09/19,Drama,134,Syed Ahmar Rashaad,"Jyotika, Hareesh Peradi, D. Imman",7.4,7.3,7.35
Kalavu,Tamil,09/02/19,Crime; Thriller,,Murali Karthick,Kalaiyarasan; Karunakaran,7.3,7.5,7.4
Petta,Tamil,10/01/19,Action; Drama,171,Karthik Subbaraj,Rajinikanth; Vijay Sethupathi; Nawazuddin Siddiqui,7.2,7.8,7.5
Mehandi Circus,Tamil,12/07/19,Romance; Drama,135,Muthukumar,Madhampatty Rangaraj; Shweta Tripathi,7.2,7.6,7.4
Miga Miga Avasaram,Tamil,08/03/19,Drama,96,Anand Ravichandran,Aravindhan; Muthuraman; Sri Priyanka,7.2,7,7.1
Bakrid,Tamil,02/08/19,Drama; Comedy,121,Jagadeesan Subu,Vasundhara Kashyap; Vikranth,7.2,7.1,7.15
Thorati,Tamil,21/06/19,Drama,128,P. Marimuthu,Sri Gouri Priya; Thamizh,7.2,7.2,7.2
Maadathy: An Unfairy Tale,Tamil,15/11/19,Drama; Folk,90,Leena Manimekalai,Rohini Hattangadi; Aadukalam Naren,7.1,7.2,7.15
Viswasam,Tamil,10/01/19,Action; Drama,156,Siva,Ajith Kumar; Nayanthara; Jagapathi Babu,7.1,7.1,7.1
Kolaigaran,Tamil,01/11/19,Crime; Thriller,130,Andrew Louis,Arjun Sarja; Vijay Antony; Ashima Narwal,7.1,7.5,7.3
Gundu,Tamil,22/11/19,Crime; Thriller,141,TP Gajendran,Riythvika Panneerselvam; Dinesh; Anandhi,7.1,7.2,7.15
Sivaranjiniyum Innum Sila Pengalum,Tamil,19/12/19,Drama; Anthology,123,Vasanth,Lakshmi Priyaa Chandramouli; Kalieaswari Srinivasan; Parvathi Menon,7.1,7.6,7.35
Nedunalvaadai,Tamil,15/03/19,Drama,122,Selvakannan,Poo Ramu; Elvis Alexander; Anjali Nair,7.1,6.7,6.9
Comali,Tamil,15/08/19,Comedy; Drama; Adventure,142,Pradeep Ranganathan,Ravi Mohan; Kajal Aggarwal; Yogi Babu; Samyuktha Hegde; K. S.‚Ravikumar,7,6.4,6.7
Sivappu Manjal Pachai,Tamil,14/06/19,Action; Drama,140,K. S. Thangasamy,G. V. Prakash Kumar; Lijomol Jose,7,7.5,7.25
Uriyadi 2,Tamil,03/05/19,Thriller; Action,119,Vijay Kumar,Lenin Vijay; others,7,7.1,7.05
