Title,Language,Release Date,Genre(s),Runtime (mins),Director,Lead Actor(s),IMDb Rating (/10),BookMyShow Rating (/10),Average Rating (/10)
Sattham,Tamil,22/07/19,Thriller,154,Mani Shankar Iyer,Kamaal Lenin; Santhosh; Rohith Muralidharan; Nakshatra Rao,8.8,,
Kaithi,Tamil,25/10/19,Action; Thriller,146,Lokesh Kanagaraj,Karthi; Narain; Arjun Das,8.4,,
KD (A) Karuppudurai,Tamil,27/06/19,Drama,123,Seenu Ramasamy,Karuppu; others‡,8.4,,
Asuran,Tamil,04/10/19,Action; Drama,141,Vetrimaaran,Dhanush; Manju Warrier,8.4,,
Kurukshetra 3D,Tamil,08/03/19,Historical; War,135,Nagana,Yogesh Kumar; Gayathrie,8.4,,
Single Slipper Size – 7,Tamil,10/05/19,Crime; Thriller,120,Suhana Rajendran,Parthiban Radhakrishnan; Gayathrie,8.3,,
Saaral,Tamil,29/11/19,Mystery; Thriller,115,Prabhu,Deepak Paramesh; Lakshmi Menon,8.3,,
Super Deluxe,Tamil,29/03/19,Drama; Thriller,176,Thiagarajan Kumararaja,Vijay Sethupathi; Fahadh Faasil; Samantha Ruth Prabhu,8.2,,
Thadam,Tamil,30/08/19,Crime; Mystery,138,Magizh Thirumeni,Arun Vijay; Yogi Babu; Tanya Hope,8.1,,
Kudimagan,Tamil,21/06/19,Drama,125,Esakki Karvannan,Vinoth Kishan; Viji Chandrasekhar,8.1,,
Insha Allah – An Inception at Closure,Tamil,05/04/19,Drama,84,Rajapandi,Samuthirakani; Sunaina Yella; Sara Arjun; Leela Samson,8,,
Sillu Karuppatti,Tamil,15/03/19,Romance; Drama; Anthology,153,Halitha Shameem,"Priyanka K, Nivedithaa Sathish, Kathir, Dhilip Subbarayan",7.9,,
To Let,Tamil,21/02/19,Drama,99,Chezhiyan,Santhosh Sreeram; Sheela; Dharun; Aadhira Pandilakshmi,7.9,,
Embiran,Tamil,10/05/19,Romance,90‡,SK Jeeva,Krishna Pandi,7.9,,
Jiivi,Tamil,07/06/19,Thriller; Drama,122,V.J. Gopinath,"Vetri, Cheran, Santhosh Prathap",7.7,,
Nerkonda Paarvai,Tamil,08/08/19,Courtroom; Drama,157,H. Vinoth,"Ajith Kumar, Shraddha Srinath, Andrea Jeremiah",7.7,,
Magamuni,Tamil,27/09/19,Crime; Drama,153,Santhakumar,"Arya, Indhuja Ravichandran, Mahima Nambiar",7.6,,
Kannadi,Tamil,20/12/19,Thriller; Drama,117‡,Nibir Mohan,Vinod Raj; More info not found,7.6,,
Raatchasi,Tamil,20/09/19,Drama,134,Syed Ahmar Rashaad,"Jyotika, Hareesh Peradi, D. Imman",7.4,,
Kalavu,Tamil,09/02/19,Crime; Thriller,,Murali Karthick,Kalaiyarasan; Karunakaran,7.3,,
Petta,Tamil,10/01/19,Action; Drama,171,Karthik Subbaraj,Rajinikanth; Vijay Sethupathi; Nawazuddin Siddiqui,7.2,,
Mehandi Circus,Tamil,12/07/19,Romance; Drama,135,Muthukumar,Madhampatty Rangaraj; Shweta Tripathi,7.2,,
Miga Miga Avasaram,Tamil,08/03/19,Drama,96,Anand Ravichandran,Aravindhan; Muthuraman; Sri Priyanka,7.2,,
Bakrid,Tamil,02/08/19,Drama; Comedy,121,Jagadeesan Subu,Vasundhara Kashyap; Vikranth,7.2,,
Thorati,Tamil,21/06/19,Drama,128,P. Marimuthu,Sri Gouri Priya; Thamizh,7.2,,
Maadathy: An Unfairy Tale,Tamil,15/11/19,Drama; Folk,90,Leena Manimekalai,Rohini Hattangadi; Aadukalam Naren,7.1,,
Viswasam,Tamil,10/01/19,Action; Drama,156,Siva,Ajith Kumar; Nayanthara; Jagapathi Babu,7.1,,
Kolaigaran,Tamil,01/11/19,Crime; Thriller,130,Andrew Louis,Arjun Sarja; Vijay Antony; Ashima Narwal,7.1,,
Gundu,Tamil,22/11/19,Crime; Thriller,141,TP Gajendran,Riythvika Panneerselvam; Dinesh; Anandhi,7.1,,
Sivaranjiniyum Innum Sila Pengalum,Tamil,19/12/19,Drama; Anthology,123,Vasanth,Lakshmi Priyaa Chandramouli; Kalieaswari Srinivasan; Parvathi Menon,7.1,,
Nedunalvaadai,Tamil,15/03/19,Drama,122,Selvakannan,Poo Ramu; Elvis Alexander; Anjali Nair,7.1,,
Comali,Tamil,15/08/19,Comedy; Drama; Adventure,142,Pradeep Ranganathan,Ravi Mohan; Kajal Aggarwal; Yogi Babu; Samyuktha Hegde; K. S. Ravikumar,7,,
Sivappu Manjal Pachai,Tamil,14/06/19,Action; Drama,140,K. S. Thangasamy,G. V. Prakash Kumar; Lijomol Jose,7,,
Uriyadi 2,Tamil,03/05/19,Thriller; Action,119,Vijay Kumar,Lenin Vijay; others,7,,
House Owner,Tamil,15/02/19,Drama; Thriller,109,Lakshmy Ramakrishnan,Jayaraj Subramaniam; Charulatha Balakrishnan,7,,
The Prophet,Tamil,27/09/19,Biography; Drama,63,G. Marimuthu,Sridhar (Devaduta),7,,
Game Over,Tamil,05/04/19,Thriller; Horror,102,Ashwin Saravanan,Taapsee Pannu,6.9,,
LKG,Tamil,22/02/19,Political Satire; Comedy,124,K. R. Prabhu,RJ Balaji; Priya Anand,6.9,,
The Mosquito Philosophy,Tamil,10/05/19,Comedy; Drama,70,N. Harikumar,Vishakha Singh; same,6.9,,
Bow Bow,Tamil,12/07/19,Family; Drama,110,Mohan Krishna,Lisha; Siddharthan,6.8,,
Aghavan,Tamil,05/02/19,Action; Drama; Thriller,152,APG Elumalai,Kishore Ravichandran; Chirashree Anchan; Nithya Shetty,6.8,,
Bigil,Tamil,25/10/19,Action; Sports; Drama,179,Atlee,Vijay; Nayanthara; Jackie Shroff; Vivek; Kathir,6.7,,
V1 Murder Case,Tamil,22/03/19,Crime; Thriller,112,Rupesh Paul,Prashanth; Chandini Tamilarasan,6.7,,
Thambi,Tamil,29/11/19,Crime; Drama,149,Jeethu Joseph,Karthi; Priya Bhavani Shankar; Jyothika,6.7,,
Kaalidas,Tamil,18/10/19,Thriller; Crime,126,Vijay Kumar,Suresh Chandra Menon; Bharath Srinivasan; Aadhav Kannadasan,6.7,,
Monster,Tamil,28/11/19,Comedy; Horror,139,Bhanushankar,SJ Suryah; Karunakaran; Priya Bhavani Shankar,6.7,,
Azhiyatha Kolangal 2,Tamil,15/11/19,Drama,,B. Lenin,S. J. Suryah; etc.,6.7,,
Uchakattam,Tamil,05/07/19,Thriller; Drama,,Arivazhagan,unknown,6.7,,
Thozhar Venkatesan,Tamil,01/09/19,Drama,112,Mahendran,unknown,6.6,,
Champion,Tamil,29/11/19,Sports; Drama,109,Akash Gandhi,Mirnalini Ravi; Narain,6.6,,
Bodhai Yeri Budhi Maari,Tamil,15/02/19,Comedy; Thriller,124,Suresh.R.Kumar,Harish Kalyan; Anandhi  ,6.6,,
Rocky: The Revenge,Tamil,28/06/19,Action; Drama,152,Gopi Krishna,Atharvaa Murali; Hansika Motwani,6.6,,
100,Tamil,22/11/19,Crime; Drama,141,Sam Anton,Atharvaa Murali; Hansika Motwani ,6.5,,
