Title,Language,Release Date,Genre(s),Runtime (min),Director(s),Lead Actor(s),IMDb,BMS,Avg Rating
Rangoli,Tamil,01-Sep-23,"Drama, Family",130,Vaali Mohan Das,"Hamaresh, Prarthana, Aadukalam Murugadoss",7.2,8.2,7.7
Leo,Tamil,19-Oct-23,"Action, Crime, Thriller",164,Lokesh Kanagaraj,"Vijay, Trisha Krishnan, Sanjay Dutt, Arjun Sarja",7.2,8.5,7.85
Jailer,Tamil,10-Aug-23,"Action, Comedy, Crime",168,Nelson Dilipkumar,"Rajinikanth, Ramya Krishnan, Vinayakan",7.1,8.8,7.95
Por Thozhil,Tamil,09-Jun-23,"Crime, Thriller",147,Vignesh Raja,"Ashok Selvan, Sarath Kumar, Nikhila Vimal",8,8.7,8.35
Viduthalai: Part 1,Tamil,31-Mar-23,"Crime, Drama, Thriller",150,Vetrimaaran,"Soori, Vijay Sethupathi",8.2,8.9,8.55
Joe,Tamil,24-Nov-23,"Drama, Romance",147,Hariharan Ram S,"Rio Raj, Malavika Manoj, Bhavya Trikha",7.4,8.4,7.9
Dada,Tamil,10-Feb-23,"Drama, Family, Romance",133,Ganesh K Babu,"Kavin, Aparna Das, Bhagyaraj",8.1,8.8,8.45
Ponniyin Selvan: Part Two,Tamil,28-Apr-23,"Action, Drama, History",164,Mani Ratnam,"Vikram, Aishwarya Rai Bachchan, Jayam Ravi",7.2,8.5,7.85
Route No 17,Tamil,10-Mar-23,"Thriller, Horror",112,Abhilash G Devan,"Abhilash G Devan, Anju Pavi, Suresh Babu",8.1,8.3,8.2
Parking,Tamil,01-Dec-23,"Drama, Thriller",127,Ramkumar Balakrishnan,"Harish Kalyan, M. S. Bhaskar, Indhuja Ravichandran",7.8,8.6,8.2
Chithha,Tamil,28-Sep-23,"Drama, Thriller",140,S.U. Arun Kumar,"Siddharth, Nimisha Sajayan",8.2,8.9,8.55
Jigarthanda Double X,Tamil,10-Nov-23,"Action, Comedy, Crime",172,Karthik Subbaraj,"Raghava Lawrence, S. J. Suryah",8,8.5,8.25
Maaveeran,Tamil,14-Jul-23,"Action, Drama, Fantasy",163,Madonne Ashwin,"Sivakarthikeyan, Aditi Shankar",7.4,8.4,7.9
Iraivan,Tamil,28-Sep-23,"Action, Crime, Thriller",154,I. Ahmed,"Jayam Ravi, Nayanthara, Rahul Bose",4.7,6.8,5.75
Maamannan,Tamil,29-Jun-23,"Drama, Political Thriller",157,Mari Selvaraj,"Vadivelu, Udhayanidhi Stalin, Fahadh Faasil, Keerthy Suresh",6.7,8,7.35
Kolai,Tamil,21-Jul-23,"Crime, Thriller",126,Balaji K Kumar,"Vijay Antony, Ritika Singh, Meenakshi Chaudhary",5.3,7,6.15
Paramporul,Tamil,01-Sep-23,"Action, Crime, Thriller",146,C. Aravind Raj,"R. Sarathkumar, Amitash Pradhan, Kashmira Pardeshi",7,8.2,7.6
Good Night,Tamil,12-May-23,"Comedy, Drama, Romance",142,Vinayak Chandrasekaran,"Manikandan, Meetha Raghunath, Ramesh Thilak",7.7,8.5,8.1
Thugs,Tamil,24-Feb-23,"Action, Crime, Drama",122,Brinda,"Hridhu Haroon, Bobby Simha, Anaswara Rajan",6.4,7.5,6.95
DD Returns,Tamil,28-Jul-23,"Comedy, Horror",124,S. Prem Anand,"Santhanam, Surbhi, Redin Kingsley",6.2,7.5,6.85
Vaathi,Tamil,17-Feb-23,"Action, Drama",139,Venky Atluri,"Dhanush, Samyuktha Menon",7.3,8.2,7.75
Pathu Thala,Tamil,30-Mar-23,"Action, Crime, Drama",151,Obeli N. Krishna,"Silambarasan TR, Gautham Karthik, Priya Bhavani Shankar",6.7,8,7.35
Chandramukhi 2,Tamil,28-Sep-23,"Comedy, Drama, Horror",172,P. Vasu,"Raghava Lawrence, Kangana Ranaut, Vadivelu",2.6,5.2,3.9
Mark Antony,Tamil,15-Sep-23,"Action, Sci-Fi",150,Adhik Ravichandran,"Vishal, S. J. Suryah, Ritu Varma",6.6,7.9,7.25
Raid,Tamil,10-Nov-23,"Action, Thriller",125,Karthi,"Vikram Prabhu, Sri Divya",3.2,5.8,4.5
Bakasuran,Tamil,17-Feb-23,"Action, Drama, Thriller",155,Mohan G Kshatriyan,"Natarajan Subramaniam, Selvaraghavan",6.2,7.6,6.9
Ayodhi,Tamil,03-Mar-23,"Drama, Thriller",121,R. Manthira Moorthy,"M. Sasikumar, Yashpal Sharma, Preethi Asrani",8.2,8.6,8.4
Annapoorani,Tamil,01-Dec-23,Drama,146,Nilesh Krishnaa,"Nayanthara, Jai, Sathyaraj",3.8,6.1,4.95
Irugapatru,Tamil,06-Oct-23,"Drama, Romance",153,Yuvaraj Dhayalan,"Vikram Prabhu, Shraddha Srinath, Sri, Vidharth",8.1,8.5,8.3
Fight Club,Tamil,15-Dec-23,"Action, Drama, Thriller",135,Abbas A Rahmath,"Vijay Kumar, Kaarthekeyen Santhanam, Shankar Thas",5.5,6.9,6.2
